Year,SmoothedRainfall
1961,320.366666666667
1962,304.975
1963,343.68
1964,379.1
1965,400.62
1966,328.12
1967,386.4
1968,382.06
1969,373.16
1970,358.28
1971,337.34
1972,320.1
1973,300.44
1974,250.42
1975,239.62
1976,320.7
1977,298.66
1978,316.36
1979,372.58
1980,375.9
1981,347.78
1982,344.72
1983,328.22
1984,322.54
1985,401.12
1986,409.14
1987,422.58
1988,448.58
1989,468.02
1990,386.06
1991,386.58
1992,332.64
1993,272.42
1994,242.96
1995,296.9
1996,306.18
1997,318.24
1998,322.5
1999,338.34
2000,302.1
2001,324.56
2002,349.46
2003,365.4
2004,428.5
2005,439.64
2006,407.14
2007,455.06
2008,449.76
2009,429.14
2010,426.68
2011,436.36
2012,353.52
2013,343.98
2014,292.02
2015,290.34
2016,263.38
2017,294.08
2018,385.34
2019,362.62
2020,379.1
2021,407.9
